,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
270,No,Rarely,456.44,Unknown,8,4,Unknown,271,3,Female,,3,2,Manufacturing Director,4,Single,3686.67,9585.33,1,No,23,4.0,4,Part Time,0,11.0,2,3.0,11,1,8,1992,44240.0,No
271,No,Unknown,561.37,Unknown,21,4,Marketing,272,3,Male,,3,2,Sales Executive,4,Unknown,4534.17,11788.83,0,Unknown,22,4.0,4,Unknown,0,11.0,2,1.0,10,1,0,1972,,Yes
272,Yes,Frequently,626.68,Unknown,7,3,Unknown,273,1,Male,,1,2,Laboratory Technician,3,Unknown,5061.67,13160.33,1,Yes,24,4.0,4,Full Time,0,9.0,3,3.0,9,0,6,1989,60740.0,Yes
273,No,Unknown,1032.49,Unknown,11,2,Technical Degree,274,2,Female,129.06091077207583,3,3,Sales Executive,4,Unknown,8339.32,21682.23,0,No,14,3.0,3,Part Time,1,10.0,6,3.0,9,2,8,1987,100071.84,No
274,No,Frequently,290.04,Unknown,23,3,Unknown,275,1,Male,36.25443871706758,1,1,Research Scientist,3,Divorced,2342.59,6090.75,1,No,25,4.0,3,Part Time,3,,2,2.0,10,0,9,1993,28111.13,No
275,No,No,634.11,Unknown,12,2,Unknown,276,12,Male,79.26388888888889,3,2,Sales Executive,2,Married,,13316.33,0,Unknown,13,3.0,1,Full Time,1,,2,4.0,7,0,7,1990,61460.0,Yes
276,Yes,Unknown,636.79,Unknown,6,4,Life Sciences,277,2,Male,,1,2,Sales Executive,3,Married,5143.33,13372.67,4,Unknown,18,3.0,2,Full Time,0,,3,2.0,7,7,7,1992,61720.0,No
277,No,Rarely,1032.49,Unknown,23,1,Unknown,278,3,Male,129.06091077207583,3,3,Sales Executive,3,Divorced,8339.32,21682.23,3,Yes,13,3.0,3,Part Time,1,,2,3.0,9,0,7,1982,100071.84,No
278,No,Rarely,290.04,Unknown,25,1,Unknown,279,3,Female,,3,1,Human Resources,3,Unknown,2342.59,6090.75,1,Unknown,23,4.0,4,Unknown,1,8.0,3,3.0,8,5,7,1997,,Yes
279,No,Unknown,481.62,Unknown,9,2,Unknown,280,4,Male,,1,2,Sales Executive,4,Divorced,,10114.0,0,No,17,3.0,4,Part Time,3,,2,4.0,8,0,7,1991,46680.0,Yes
280,No,Frequently,578.29,Unknown,26,3,Unknown,281,2,Female,72.28670634920636,3,2,Research Scientist,2,Divorced,4670.83,12144.17,1,No,11,3.0,1,Full Time,1,20.0,2,3.0,20,2,13,1983,56050.0,No
281,No,Rarely,556.26,Sales,6,2,Marketing,282,2,Male,69.53208262471655,3,2,Sales Representative,3,Unknown,4492.84,11681.39,2,Yes,20,4.0,4,Part Time,1,13.0,3,1.0,7,4,5,1970,53914.11,Yes
282,No,No,445.61,Research & Development,1,1,Technical Degree,283,4,Male,,3,2,Manufacturing Director,3,Married,3599.17,9357.83,1,Unknown,13,3.0,1,Part Time,1,10.0,1,3.0,10,0,9,1994,43190.0,No
283,No,Frequently,290.04,Research & Development,3,2,Unknown,284,4,Male,,3,1,Laboratory Technician,2,Unknown,,6090.75,4,No,12,3.0,3,Part Time,0,13.0,3,2.0,8,7,2,1987,28111.13,Yes
284,No,Rarely,290.04,Research & Development,14,3,Unknown,285,4,Female,,3,1,Research Scientist,2,Unknown,2342.59,6090.75,1,Unknown,13,3.0,4,Part Time,1,8.0,5,3.0,8,1,6,1990,28111.13,Yes
285,No,Rarely,1582.77,Unknown,3,3,Unknown,286,4,Female,,3,4,Healthcare Representative,2,Single,,33238.2,3,Unknown,18,3.0,3,Full Time,0,,6,3.0,7,1,0,1972,153407.07,No
286,No,Rarely,290.04,Unknown,9,3,Medical,287,4,Female,36.25443871706758,3,1,Research Scientist,2,Single,2342.59,6090.75,1,No,16,3.0,4,Part Time,0,,2,2.0,7,0,3,1996,28111.13,No
287,No,Unknown,367.71,Unknown,21,3,Life Sciences,288,2,Male,45.96428571428572,4,1,Research Scientist,1,Unknown,2970.0,7722.0,1,Yes,12,3.0,1,Full Time,1,,3,2.0,8,1,7,1986,35640.0,Yes
288,No,Unknown,645.98,Unknown,29,3,Unknown,289,4,Male,,3,2,Manufacturing Director,4,Married,5217.5,13565.5,3,No,18,3.0,1,Full Time,1,9.0,3,1.0,7,1,7,1985,62610.0,Yes
289,No,No,702.0,Unknown,18,4,Unknown,290,4,Male,,3,2,Manufacturing Director,4,Divorced,5670.0,14742.0,1,Yes,15,3.0,1,Full Time,2,7.0,0,3.0,7,1,7,1974,68040.0,No
290,No,Unknown,556.26,Unknown,20,3,Life Sciences,291,4,Female,69.53208262471655,3,2,Sales Executive,3,Single,4492.84,11681.39,1,Unknown,14,3.0,4,Part Time,0,7.0,2,3.0,7,0,7,1996,53914.11,No
291,No,Unknown,1032.49,Sales,6,3,Medical,292,4,Female,129.06091077207583,2,3,Sales Executive,4,Single,8339.32,21682.23,6,Unknown,12,3.0,4,Part Time,0,23.0,2,3.0,19,12,8,1978,100071.84,Yes
292,No,Unknown,1032.49,Unknown,1,3,Unknown,293,3,Female,,3,3,Sales Executive,3,Single,,21682.23,1,No,14,3.0,1,Part Time,0,10.0,3,4.0,10,0,8,1988,100071.84,Yes
293,Yes,Rarely,290.04,Unknown,2,2,Unknown,294,1,Female,,3,1,Laboratory Technician,1,Unknown,,6090.75,7,No,20,3.0,1,Part Time,0,13.0,3,4.0,9,1,7,1990,28111.13,Yes
294,No,Unknown,1973.98,Unknown,2,4,Life Sciences,295,1,Male,,2,5,Manager,3,Unknown,15943.72,41453.67,1,Yes,18,3.0,4,Full Time,0,33.0,2,4.0,33,15,12,1971,191324.62,Yes
295,No,Unknown,2005.3,Research & Development,2,2,Medical,296,1,Male,,3,5,Research Director,3,Unknown,16196.67,42111.33,0,No,19,3.0,4,Full Time,1,,5,3.0,21,3,9,1983,194360.0,Yes
296,No,No,556.26,Sales,2,2,Life Sciences,297,4,Male,69.53208262471655,2,2,Sales Executive,4,Unknown,4492.84,11681.39,3,No,18,3.0,4,Part Time,1,13.0,0,3.0,8,7,5,1985,53914.11,Yes
297,No,Unknown,1582.77,Unknown,27,3,Unknown,298,27,Female,197.8464183087028,1,4,Manager,2,Married,12783.92,33238.2,3,Yes,12,3.0,2,Full Time,1,28.0,2,2.0,7,7,7,1977,153407.07,No
298,No,Rarely,1582.77,Unknown,20,2,Medical,299,3,Male,,3,4,Healthcare Representative,4,Married,12783.92,33238.2,0,Yes,14,3.0,2,Unknown,0,21.0,2,3.0,20,4,10,1978,153407.07,Yes
299,Yes,No,1032.49,Unknown,10,4,Life Sciences,300,1,Male,,3,3,Manager,2,Married,8339.32,21682.23,1,Unknown,12,3.0,4,Unknown,1,,2,2.0,10,9,9,1976,,Yes
300,No,Unknown,1032.49,Unknown,22,3,Life Sciences,301,2,Female,,4,3,Manager,2,Divorced,,21682.23,7,Unknown,18,3.0,2,Part Time,1,10.0,6,2.0,7,6,2,1988,100071.84,No
301,No,Frequently,556.26,Unknown,2,2,Unknown,302,2,Male,,3,2,Sales Executive,4,Single,4492.84,11681.39,1,Unknown,18,3.0,1,Part Time,0,,3,3.0,10,0,9,1994,53914.11,Yes
302,No,Rarely,556.26,Research & Development,20,2,Technical Degree,303,2,Male,,3,2,Laboratory Technician,4,Married,,11681.39,3,Unknown,19,3.0,4,Part Time,1,12.0,4,3.0,10,0,8,1968,53914.11,Yes
303,Yes,Rarely,601.3,Unknown,45,4,Unknown,304,4,Male,,2,2,Sales Executive,4,Single,4856.67,12627.33,1,Unknown,12,3.0,2,Unknown,0,,0,3.0,8,7,4,1997,,Yes
304,No,Rarely,556.26,Unknown,7,3,Technical Degree,305,2,Male,,4,2,Sales Executive,4,Unknown,4492.84,11681.39,4,Unknown,11,3.0,2,Part Time,1,10.0,3,2.0,8,7,7,1992,53914.11,Yes
305,No,Frequently,253.29,Unknown,10,4,Life Sciences,306,3,Female,31.66170634920635,3,1,Laboratory Technician,4,Unknown,,5319.17,0,No,19,3.0,1,Part Time,0,,5,3.0,8,1,7,1980,24550.0,Yes
306,No,Rarely,556.26,Unknown,13,3,Marketing,307,4,Male,,3,2,Sales Executive,4,Unknown,,11681.39,4,Unknown,12,3.0,4,Part Time,3,13.0,3,3.0,7,1,7,1992,53914.11,Yes
307,No,Unknown,521.55,Unknown,2,4,Medical,308,1,Female,65.19345238095238,4,2,Research Scientist,4,Single,,10952.5,7,Unknown,16,3.0,3,Part Time,0,,0,2.0,7,0,7,1991,50550.0,Yes
308,No,Unknown,483.06,Unknown,10,3,Unknown,309,2,Male,,2,2,Sales Executive,4,Unknown,3901.67,10144.33,3,No,14,3.0,3,Unknown,0,,6,2.0,7,0,1,1990,,No
309,No,Frequently,542.39,Research & Development,10,4,Life Sciences,310,3,Female,,2,2,Laboratory Technician,3,Divorced,,11390.17,1,No,11,3.0,2,Part Time,1,9.0,3,4.0,9,0,0,1980,52570.0,No
310,Yes,Rarely,218.63,Unknown,8,4,Unknown,311,2,Male,,1,1,Laboratory Technician,1,Unknown,1765.83,4591.17,1,Unknown,11,3.0,4,Unknown,0,7.0,4,2.0,7,0,7,1994,,No
311,No,Unknown,556.26,Sales,8,4,Unknown,312,2,Female,,3,2,Sales Executive,2,Unknown,4492.84,11681.39,1,No,18,3.0,1,Part Time,1,8.0,3,3.0,8,0,7,1996,53914.11,No
312,No,Rarely,556.26,Unknown,10,1,Unknown,313,4,Female,,2,2,Sales Executive,2,Divorced,4492.84,11681.39,1,Yes,14,3.0,1,Part Time,2,7.0,2,3.0,7,1,7,1994,53914.11,No
313,No,Unknown,616.37,Unknown,6,3,Medical,314,3,Male,,4,2,Research Scientist,1,Divorced,4978.33,12943.67,4,Unknown,13,3.0,1,Full Time,2,13.0,2,3.0,7,6,7,1986,59740.0,No
314,No,Rarely,556.26,Unknown,1,3,Unknown,315,3,Male,69.53208262471655,3,2,Sales Executive,3,Unknown,4492.84,11681.39,1,Unknown,17,3.0,2,Part Time,1,,3,3.0,8,7,7,1997,53914.11,Yes
315,No,Rarely,290.04,Unknown,10,4,Life Sciences,316,4,Female,,4,1,Laboratory Technician,3,Married,2342.59,6090.75,3,Yes,13,3.0,3,Unknown,1,,3,3.0,7,1,7,1983,,Yes
316,Yes,Unknown,556.26,Unknown,4,3,Unknown,317,1,Male,,3,2,Sales Executive,2,Unknown,4492.84,11681.39,1,No,18,3.0,3,Part Time,0,8.0,5,3.0,8,7,7,1982,53914.11,No
317,No,Rarely,556.26,Unknown,14,2,Unknown,318,3,Female,,3,2,Sales Executive,4,Unknown,4492.84,11681.39,4,No,11,3.0,3,Unknown,1,18.0,2,2.0,7,0,7,1972,,Yes
318,No,Unknown,313.03,Unknown,14,3,Unknown,319,4,Female,,3,1,Laboratory Technician,1,Unknown,,6573.67,1,No,12,3.0,3,Full Time,1,,2,2.0,18,12,17,1986,30340.0,No
319,No,Unknown,1363.14,Unknown,6,3,Life Sciences,320,3,Female,,4,4,Sales Executive,1,Married,11010.0,28626.0,9,No,11,3.0,4,Unknown,3,36.0,0,2.0,7,7,7,1967,,Yes
320,No,Rarely,865.84,Sales,1,3,Marketing,321,2,Male,,4,3,Sales Executive,1,Married,,18182.67,1,Unknown,16,3.0,3,Part Time,1,10.0,2,3.0,10,0,7,1982,83920.0,Yes
321,No,Unknown,556.26,Unknown,18,3,Medical,322,3,Female,,3,2,Manufacturing Director,3,Unknown,4492.84,11681.39,2,No,14,3.0,3,Part Time,1,19.0,5,2.0,10,0,8,1977,53914.11,No
322,No,No,290.04,Unknown,2,3,Unknown,323,3,Female,,3,1,Laboratory Technician,4,Single,,6090.75,0,Unknown,14,3.0,3,Part Time,0,12.0,2,2.0,11,6,7,1993,28111.13,No
323,No,Rarely,1032.49,Unknown,16,3,Life Sciences,324,4,Male,129.06091077207583,3,3,Healthcare Representative,3,Unknown,8339.32,21682.23,4,Yes,12,3.0,3,Part Time,0,10.0,2,3.0,8,0,0,1988,100071.84,No
324,No,Rarely,417.96,Unknown,2,5,Unknown,325,2,Female,52.24503968253968,3,2,Sales Executive,4,Married,3375.83,8777.17,2,No,14,3.0,1,Part Time,1,14.0,2,3.0,9,6,7,1975,40510.0,Yes
325,No,Rarely,495.75,Unknown,2,3,Other,326,4,Male,,3,2,Sales Executive,2,Unknown,4004.17,10410.83,0,No,19,3.0,2,Part Time,1,,3,4.0,8,3,7,1978,48050.0,Yes
326,Yes,Frequently,282.8,Unknown,17,4,Life Sciences,327,2,Female,,3,1,Human Resources,3,Unknown,2284.17,5938.83,0,Yes,11,3.0,2,Unknown,1,8.0,2,3.0,7,1,0,1997,,Yes
327,No,Unknown,556.26,Unknown,2,4,Other,328,1,Female,,2,2,Healthcare Representative,3,Single,,11681.39,2,Yes,17,3.0,1,Part Time,0,10.0,3,3.0,8,0,7,1982,53914.11,Yes
328,No,Unknown,550.64,Unknown,21,4,Unknown,329,4,Male,,4,2,Sales Executive,4,Single,,11563.5,1,Unknown,12,3.0,4,Part Time,0,10.0,3,3.0,10,5,7,1989,53370.0,Yes
329,No,Rarely,556.26,Unknown,6,4,Medical,330,1,Male,69.53208262471655,4,2,Sales Executive,4,Divorced,,11681.39,4,No,22,4.0,4,Part Time,2,13.0,4,4.0,7,5,7,1992,53914.11,Yes
330,No,Frequently,556.26,Unknown,9,5,Unknown,331,4,Male,,3,2,Laboratory Technician,3,Divorced,,11681.39,3,Unknown,13,3.0,2,Part Time,1,10.0,3,3.0,8,4,7,1980,53914.11,No
331,No,Unknown,556.26,Sales,1,1,Unknown,332,4,Female,,3,2,Sales Executive,1,Single,,11681.39,7,Unknown,20,4.0,4,Part Time,0,18.0,2,4.0,14,8,10,1970,53914.11,No
332,No,Rarely,973.35,Unknown,3,3,Other,333,3,Male,,3,3,Manufacturing Director,3,Married,7861.67,20440.33,1,No,15,3.0,3,Part Time,1,,2,3.0,10,7,8,1986,94340.0,Yes
333,No,Unknown,1032.49,Unknown,19,4,Unknown,334,3,Male,,3,3,Human Resources,2,Unknown,8339.32,21682.23,2,Unknown,15,3.0,3,Part Time,1,16.0,1,4.0,9,7,1,1969,100071.84,Yes
334,No,Rarely,556.26,Sales,7,4,Marketing,335,4,Female,,2,2,Sales Executive,4,Unknown,4492.84,11681.39,0,No,20,3.0,1,Part Time,0,,2,3.0,7,0,5,1985,53914.11,Yes
335,No,Unknown,290.04,Research & Development,1,4,Life Sciences,336,2,Male,36.25443871706758,1,1,Research Scientist,4,Divorced,2342.59,6090.75,1,Unknown,18,3.0,4,Part Time,1,10.0,5,3.0,10,2,8,1994,28111.13,Yes
336,No,Unknown,1032.49,Unknown,9,3,Medical,337,4,Female,129.06091077207583,2,3,Healthcare Representative,2,Unknown,,21682.23,1,Unknown,14,3.0,2,Part Time,0,9.0,3,4.0,8,7,7,1989,100071.84,No
337,No,Unknown,556.26,Unknown,2,4,Technical Degree,338,4,Female,,2,2,Healthcare Representative,3,Single,4492.84,11681.39,1,No,11,3.0,1,Part Time,0,20.0,4,3.0,20,11,10,1984,53914.11,No
338,No,Unknown,556.73,Unknown,10,3,Marketing,339,4,Male,,3,2,Sales Executive,4,Unknown,4496.67,11691.33,1,Unknown,12,3.0,4,Full Time,0,10.0,2,2.0,10,0,8,1991,53960.0,Yes
339,No,Rarely,556.26,Unknown,1,4,Life Sciences,340,2,Female,,4,2,Healthcare Representative,4,Unknown,4492.84,11681.39,0,Unknown,13,3.0,3,Part Time,0,10.0,4,3.0,9,1,8,1985,53914.11,Yes
340,No,Rarely,1032.49,Unknown,1,2,Life Sciences,341,3,Female,129.06091077207583,3,3,Manufacturing Director,1,Married,8339.32,21682.23,1,Unknown,11,3.0,4,Part Time,0,9.0,3,3.0,9,0,7,1996,100071.84,No
341,No,Rarely,1151.33,Unknown,3,2,Life Sciences,342,3,Female,143.9156746031746,3,3,Research Director,4,Single,9299.17,24177.83,3,Unknown,15,3.0,4,Full Time,0,10.0,6,3.0,7,7,7,1991,111590.0,No
342,No,Unknown,511.75,Unknown,35,4,Marketing,343,4,Male,,3,2,Sales Executive,1,Single,4133.33,10746.67,2,Unknown,12,3.0,4,Unknown,0,20.0,2,3.0,7,1,7,1976,,No
343,No,Frequently,907.21,Unknown,10,2,Unknown,344,4,Male,113.40178571428572,3,3,Manufacturing Director,1,Unknown,7327.5,19051.5,1,No,21,4.0,3,Part Time,2,9.0,4,2.0,9,1,7,1996,87930.0,Yes
344,No,Unknown,1979.82,Unknown,1,3,Unknown,345,4,Male,,2,5,Manager,3,Unknown,,41576.17,1,No,12,3.0,2,Full Time,1,22.0,3,3.0,22,2,10,1982,191890.0,No
345,Yes,Unknown,228.63,Research & Development,35,2,Unknown,346,35,Female,,1,1,Research Scientist,2,Unknown,1846.67,4801.33,7,Yes,13,3.0,4,Part Time,0,10.0,4,3.0,7,3,7,1995,22160.0,Yes
346,No,Unknown,1208.48,Research & Development,8,3,Unknown,347,1,Female,,4,3,Research Director,1,Married,9760.83,25378.17,9,Unknown,14,3.0,1,Full Time,1,10.0,2,3.0,8,0,5,1987,117130.0,No
347,No,Unknown,547.24,Unknown,27,5,Marketing,348,3,Male,,3,2,Sales Executive,4,Divorced,4420.0,11492.0,7,No,23,3.0,4,Unknown,1,10.0,2,2.0,8,7,7,1993,53040.0,Yes
348,No,Rarely,1145.55,Unknown,9,3,Unknown,349,3,Male,143.19345238095238,3,4,Healthcare Representative,4,Married,9252.5,24056.5,7,No,11,3.0,3,Full Time,0,30.0,1,2.0,10,1,1,1967,111030.0,No
349,No,Rarely,684.25,Unknown,2,2,Unknown,350,2,Male,,1,2,Sales Representative,3,Single,5526.67,14369.33,0,No,13,3.0,1,Full Time,0,9.0,3,3.0,8,3,1,1978,66320.0,Yes
350,No,No,782.79,Unknown,8,4,Unknown,351,1,Male,,2,3,Sales Executive,1,Single,6322.5,16438.5,1,Unknown,15,3.0,2,Part Time,0,10.0,1,3.0,10,0,9,1987,75870.0,No
351,No,Unknown,447.26,Unknown,27,3,Medical,352,2,Female,,3,2,Healthcare Representative,3,Married,3612.5,9392.5,4,No,12,3.0,1,Part Time,1,11.0,3,2.0,8,1,1,1994,43350.0,Yes
352,No,Unknown,616.98,Unknown,2,4,Life Sciences,353,1,Female,,4,2,Manufacturing Director,1,Single,4983.33,12956.67,6,Unknown,12,3.0,4,Full Time,0,17.0,2,3.0,15,4,12,1985,59800.0,Yes
353,No,Unknown,437.87,Unknown,13,2,Medical,354,13,Female,,4,2,Healthcare Representative,2,Unknown,3536.67,9195.33,1,No,24,4.0,4,Unknown,1,8.0,2,3.0,8,3,7,1983,,Yes
354,No,Frequently,1973.98,Unknown,8,3,Unknown,355,2,Male,,3,5,Manager,4,Unknown,15943.72,41453.67,1,No,13,3.0,2,Unknown,1,24.0,4,2.0,24,14,9,1981,,Yes
355,No,Rarely,539.4,Unknown,1,3,Other,356,3,Female,,3,2,Manufacturing Director,2,Unknown,4356.67,11327.33,0,Unknown,15,3.0,1,Part Time,1,,2,3.0,9,0,5,1987,52280.0,No
356,No,Rarely,278.57,Unknown,23,2,Unknown,357,3,Male,,4,1,Research Scientist,3,Married,2250.0,5850.0,1,Unknown,24,4.0,3,Part Time,1,10.0,3,3.0,10,0,7,1994,27000.0,Yes
357,Yes,Unknown,556.26,Unknown,2,1,Medical,358,3,Male,69.53208262471655,3,2,Sales Executive,4,Single,,11681.39,4,Unknown,16,3.0,3,Part Time,0,,3,2.0,9,7,3,1968,53914.11,No
358,No,Unknown,556.26,Sales,2,4,Unknown,359,2,Female,,3,2,Sales Executive,2,Unknown,,11681.39,1,Unknown,20,4.0,1,Part Time,0,8.0,2,3.0,8,7,5,1995,53914.11,Yes
359,Yes,Unknown,244.11,Unknown,5,2,Medical,360,3,Female,,2,1,Research Scientist,3,Married,1971.67,5126.33,1,Unknown,14,3.0,1,Part Time,1,8.0,2,3.0,8,1,7,1997,23660.0,Yes
360,No,Unknown,290.04,Unknown,9,2,Unknown,361,2,Male,,3,1,Research Scientist,1,Unknown,2342.59,6090.75,1,Yes,13,3.0,4,Unknown,0,8.0,0,3.0,8,7,1,1979,,Yes
361,Yes,Unknown,290.04,Research & Development,2,4,Life Sciences,362,2,Female,,1,1,Laboratory Technician,4,Divorced,2342.59,6090.75,4,Yes,13,3.0,3,Unknown,1,,1,2.0,7,1,0,1982,,Yes
362,No,Rarely,240.29,Unknown,7,4,Unknown,363,2,Male,,2,1,Sales Representative,3,Unknown,1940.83,5046.17,3,Unknown,15,3.0,2,Part Time,0,,2,4.0,7,5,2,1992,23290.0,No
363,No,Frequently,443.03,Sales,28,3,Medical,364,28,Male,,2,2,Sales Executive,1,Unknown,,9303.67,1,Unknown,12,3.0,2,Part Time,0,,2,3.0,7,0,7,1997,42940.0,Yes
364,No,Unknown,556.26,Unknown,12,3,Medical,365,4,Female,,3,2,Healthcare Representative,4,Unknown,,11681.39,0,Unknown,11,3.0,3,Part Time,2,10.0,2,1.0,9,8,5,1992,53914.11,No
365,No,Unknown,693.85,Unknown,3,4,Medical,366,3,Female,,3,2,Manufacturing Director,1,Married,,14570.83,1,Unknown,12,3.0,3,Full Time,1,8.0,2,4.0,8,6,3,1991,67250.0,No
366,Yes,Rarely,1065.28,Unknown,3,1,Life Sciences,367,3,Male,,2,3,Sales Executive,4,Married,8604.17,22370.83,1,Unknown,11,3.0,1,Full Time,1,,6,3.0,16,3,7,1987,103250.0,No
367,No,No,458.82,Unknown,47,2,Unknown,368,47,Male,,3,2,Laboratory Technician,2,Unknown,,9635.17,1,Unknown,12,3.0,2,Part Time,0,,5,2.0,9,0,8,1978,44470.0,Yes
368,No,Rarely,1032.49,Unknown,2,5,Unknown,369,1,Male,129.06091077207583,4,3,Sales Executive,3,Single,,21682.23,0,No,18,3.0,4,Part Time,0,9.0,3,3.0,8,0,7,1984,100071.84,No
369,No,No,556.26,Unknown,8,4,Technical Degree,370,1,Male,,3,2,Sales Executive,4,Divorced,4492.84,11681.39,4,No,13,3.0,4,Part Time,2,12.0,3,3.0,7,0,7,1987,53914.11,Yes
370,No,Unknown,1118.93,Unknown,7,2,Medical,371,4,Male,139.86607142857142,3,3,Manufacturing Director,3,Unknown,9037.5,23497.5,6,Unknown,13,3.0,2,Full Time,1,,3,3.0,8,0,7,1977,108450.0,No
371,No,Rarely,1032.49,Unknown,17,3,Technical Degree,372,3,Female,,3,3,Manufacturing Director,3,Unknown,8339.32,21682.23,8,Unknown,11,3.0,3,Part Time,1,22.0,2,3.0,10,0,8,1969,100071.84,Yes
372,No,Rarely,1032.49,Unknown,8,2,Unknown,373,2,Female,,4,3,Research Director,1,Unknown,8339.32,21682.23,0,Yes,12,3.0,3,Part Time,3,,4,2.0,8,1,7,1993,100071.84,Yes
373,No,Unknown,564.57,Unknown,2,2,Medical,374,4,Male,70.57142857142857,4,2,Manufacturing Director,4,Married,,11856.0,1,Unknown,12,3.0,2,Full Time,0,,2,3.0,8,1,3,1997,54720.0,No
374,No,Frequently,658.77,Unknown,18,4,Medical,375,3,Male,,3,2,Healthcare Representative,2,Married,5320.83,13834.17,3,Unknown,14,3.0,4,Full Time,2,,3,3.0,8,6,7,1968,63850.0,Yes
375,No,No,654.85,Sales,1,3,Life Sciences,376,4,Female,,3,2,Sales Executive,3,Married,,13751.83,0,Unknown,12,3.0,1,Full Time,1,,3,3.0,18,0,13,1973,63470.0,Yes
376,No,No,290.04,Unknown,29,4,Unknown,377,4,Female,,3,1,Laboratory Technician,3,Single,,6090.75,9,No,12,3.0,2,Part Time,0,10.0,2,3.0,8,7,7,1991,28111.13,Yes
377,No,Frequently,776.39,Unknown,2,3,Marketing,378,3,Female,97.0486111111111,2,3,Sales Executive,2,Unknown,,16304.17,2,Unknown,12,3.0,1,Part Time,1,30.0,2,3.0,15,6,12,1970,75250.0,Yes
378,No,Rarely,556.26,Unknown,26,3,Unknown,379,3,Male,,3,2,Sales Executive,1,Married,4492.84,11681.39,1,Unknown,14,3.0,2,Part Time,1,8.0,3,2.0,7,7,5,1983,53914.11,No
379,No,Unknown,1582.77,Unknown,2,1,Unknown,380,3,Male,,2,4,Manager,1,Single,12783.92,33238.2,7,No,15,3.0,2,Unknown,0,,3,4.0,9,6,2,1968,,Yes
380,Yes,No,1032.49,Unknown,24,2,Unknown,381,2,Male,,2,3,Healthcare Representative,1,Single,8339.32,21682.23,1,No,12,3.0,1,Part Time,0,10.0,2,2.0,10,1,9,1995,100071.84,No
381,No,Rarely,377.62,Unknown,10,3,Other,382,3,Female,,3,2,Research Scientist,3,Single,3050.0,7930.0,3,No,13,3.0,4,Unknown,0,,4,4.0,8,1,7,1995,,Yes
382,Yes,Unknown,1032.49,Unknown,4,3,Technical Degree,383,4,Male,,3,3,Sales Executive,1,Unknown,,21682.23,0,Unknown,22,4.0,1,Part Time,0,9.0,2,3.0,8,4,7,1988,100071.84,Yes
383,Yes,Frequently,556.26,Research & Development,36,4,Medical,384,36,Female,69.53208262471655,2,2,Research Scientist,3,Single,4492.84,11681.39,1,No,22,4.0,2,Part Time,0,14.0,4,3.0,13,3,8,1990,53914.11,Yes
384,Yes,Unknown,290.04,Research & Development,4,1,Technical Degree,385,4,Male,,3,1,Laboratory Technician,4,Married,,6090.75,1,Unknown,15,3.0,2,Part Time,1,7.0,3,4.0,7,5,6,1998,28111.13,Yes
385,No,Unknown,901.75,Sales,10,4,Unknown,386,3,Male,,2,3,Sales Executive,3,Unknown,7283.33,18936.67,0,Yes,14,3.0,2,Part Time,2,9.0,2,3.0,8,2,7,1985,87400.0,Yes
386,No,Unknown,1032.49,Unknown,12,3,Unknown,387,12,Female,,3,3,Manufacturing Director,2,Unknown,,21682.23,0,Unknown,17,3.0,2,Part Time,3,,3,2.0,9,1,7,1995,100071.84,Yes
387,No,Frequently,1032.49,Unknown,27,3,Life Sciences,388,3,Female,129.06091077207583,3,3,Manufacturing Director,1,Married,,21682.23,8,No,11,3.0,3,Part Time,1,18.0,1,3.0,8,0,1,1980,100071.84,No
388,Yes,Frequently,1582.77,Research & Development,2,3,Life Sciences,389,1,Male,197.8464183087028,3,4,Healthcare Representative,4,Unknown,12783.92,33238.2,7,No,11,3.0,4,Full Time,3,21.0,4,3.0,18,11,5,1984,153407.07,No
389,No,Rarely,1973.98,Unknown,14,3,Unknown,390,3,Male,,2,5,Research Director,3,Unknown,,41453.67,1,No,14,3.0,1,Full Time,0,,2,3.0,20,4,9,1983,191324.62,Yes
390,No,Rarely,556.26,Unknown,8,1,Medical,391,2,Male,,2,2,Manufacturing Director,4,Married,4492.84,11681.39,1,Unknown,15,3.0,3,Unknown,1,10.0,2,2.0,10,1,2,1994,,Yes
391,No,Unknown,1392.75,Unknown,32,4,Unknown,392,2,Female,,3,3,Research Director,3,Unknown,11249.17,29247.83,9,No,17,3.0,3,Full Time,0,20.0,3,2.0,18,2,13,1983,134990.0,No
392,No,Rarely,290.04,Unknown,3,4,Unknown,393,1,Male,,4,1,Laboratory Technician,4,Unknown,2342.59,6090.75,1,Unknown,22,4.0,2,Part Time,1,8.0,2,3.0,8,0,7,1997,28111.13,Yes
393,No,Rarely,1032.49,Unknown,2,3,Unknown,394,3,Male,,2,3,Manufacturing Director,2,Divorced,8339.32,21682.23,2,No,18,3.0,2,Unknown,1,15.0,2,4.0,7,6,4,1988,,Yes
394,No,Unknown,1973.98,Research & Development,7,2,Medical,395,4,Female,,3,5,Manager,3,Divorced,15943.72,41453.67,3,No,18,3.0,2,Full Time,1,26.0,6,3.0,7,4,7,1970,191324.62,No
