Oceans,Regions,Latitude,Longitude
Atlantic Ocean,Gulf of Mexico,29.3103,-94.7594
Atlantic Ocean,Gulf of Mexico,27.9968,-96.9225
Atlantic Ocean,Gulf of Mexico,27.8013,-97.0773
Atlantic Ocean,Gulf of Mexico,27.8501,-97.0419
Pacific Ocean,,27.33,-142.18
Pacific Ocean,,20.751055,-105.37303
Atlantic Ocean,,26.6383,-80.0374
Atlantic Ocean,Gulf of Mexico,30.3068,-89.3273
Atlantic Ocean,Gulf of Mexico,29.9611,-90.0449
Atlantic Ocean,Gulf of Mexico,29.6528,-95.009
Atlantic Ocean,Caribbean Sea,16.54,-86.05
Pacific Ocean,,15.664929,-96.544661
Atlantic Ocean,Caribbean Sea,16.7997,-87.8579
Atlantic Ocean,Caribbean Sea,15.45,-70.82
Atlantic Ocean,Caribbean Sea,16.1,-73.79
Atlantic Ocean,Caribbean Sea,16.97,-61.91
Pacific Ocean,,-32.9105,-84.4851
Atlantic Ocean,,-34.333,-15.9772
Pacific Ocean,,-14.4675,-143.850333
Pacific Ocean,,5.28,-146.64
Pacific Ocean,,0.27,-127.68
Atlantic Ocean,,0.019161,-47.805692
Pacific Ocean,,20.61,-155.0
Pacific Ocean,,24.8516,-152.3562
Pacific Ocean,,41.1557,-150.14325
Atlantic Ocean,Mediterranean Sea,31.8705,34.6625
Pacific Ocean,Gulf of Alaska,60.0442,-149.4409
Pacific Ocean,,54.546833,-146.002
Atlantic Ocean,North Sea,57.6858,-2.0011
Atlantic Ocean,North Sea,57.172,-1.823333
Pacific Ocean,,6.42,-148.97
Pacific Ocean,,7.43,-149.9
Pacific Ocean,,20.6,-154.81
,,43.0538,-78.8992
,,42.7906,-78.8535
Atlantic Ocean,,44.13,-68.82
Atlantic Ocean,,42.49,-69.48
Atlantic Ocean,,43.48,-69.66
Atlantic Ocean,Mediterranean Sea,44.29785,9.149569
Atlantic Ocean,,42.17,-67.39
Atlantic Ocean,,40.5,-64.07
Atlantic Ocean,,39.133667,-30.372
Atlantic Ocean,,38.48294,-8.94286
Atlantic Ocean,Mediterranean Sea,38.418333,2.066667
Atlantic Ocean,Mediterranean Sea,41.175724,1.526081
Atlantic Ocean,,32.12,-68.0
Atlantic Ocean,,35.6,-64.67
Atlantic Ocean,,35.47,-63.87
Atlantic Ocean,,36.23,-64.02
Atlantic Ocean,,41.692959,-71.362806
Atlantic Ocean,,40.35,-69.23
Atlantic Ocean,,24.89,-73.03
Atlantic Ocean,,29.76,-61.95
Atlantic Ocean,,20.9097,-35.0307
Pacific Ocean,,33.08,-147.02
Atlantic Ocean,,38.8848,-77.0573
Atlantic Ocean,,32.6553,-79.9371
Atlantic Ocean,Gulf of Mexico,21.526733,-87.37755
Atlantic Ocean,Caribbean Sea,20.63028,-87.065838
Atlantic Ocean,,25.27,-77.23
Atlantic Ocean,,25.48,-56.1
Atlantic Ocean,,20.22,-70.48
Atlantic Ocean,,25.3,-68.2
Atlantic Ocean,Gulf of Mexico,27.8296,-97.0509
Atlantic Ocean,Gulf of Mexico,27.8937,-97.0141
Atlantic Ocean,Gulf of Mexico,27.3806,-97.3149
Atlantic Ocean,Gulf of Mexico,27.7039,-97.15
Atlantic Ocean,Gulf of Mexico,27.631,-97.1946
Atlantic Ocean,Gulf of Mexico,26.633,-97.3015
Atlantic Ocean,Gulf of Mexico,29.1954,-94.9488
Atlantic Ocean,Gulf of Mexico,29.2274,-94.8946
Atlantic Ocean,Gulf of Mexico,29.3193,-94.7459
Atlantic Ocean,Gulf of Mexico,27.782,-97.0935
Atlantic Ocean,Gulf of Mexico,27.8118,-97.0678
Atlantic Ocean,Gulf of Mexico,27.84,-97.0677
Atlantic Ocean,Gulf of Mexico,27.4417,-82.6883
Atlantic Ocean,Gulf of Mexico,30.1638,-85.7874
Atlantic Ocean,Gulf of Mexico,30.4204,-87.1932
Atlantic Ocean,Gulf of Mexico,29.3361,-94.7335
Atlantic Ocean,Gulf of Mexico,29.3277,-94.7333
Atlantic Ocean,Gulf of Mexico,29.274,-94.8118
Pacific Ocean,,26.05,-141.2
Pacific Ocean,,30.002517,-141.358
Atlantic Ocean,,29.35,-78.98
Atlantic Ocean,,29.7,-76.98
Atlantic Ocean,,26.3583,-78.4833
Atlantic Ocean,Gulf of Mexico,27.9237,-82.4807
Atlantic Ocean,,18.52,-59.56
Pacific Ocean,,27.8938,-131.25535
Pacific Ocean,,24.52,-148.47
Pacific Ocean,,25.28,-147.0
Pacific Ocean,,26.876733,-144.96945
Pacific Ocean,,26.21,-144.53
Atlantic Ocean,Caribbean Sea,16.45,-79.18
Atlantic Ocean,Caribbean Sea,16.25,-85.87
Atlantic Ocean,Gulf of Mexico,19.1047,-96.0991
Atlantic Ocean,Caribbean Sea,11.72,-67.75
Atlantic Ocean,Caribbean Sea,15.33,-62.15
Atlantic Ocean,Caribbean Sea,15.37,-62.1
Pacific Ocean,,-26.99475,-104.54404
Pacific Ocean,,-27.15432,-109.46261
Atlantic Ocean,,-34.678741,17.230938
Atlantic Ocean,,-30.934833,14.513833
Pacific Ocean,,2.19,-135.73
Atlantic Ocean,Caribbean Sea,18.27,-76.27
Atlantic Ocean,,51.4031,-30.1821
Atlantic Ocean,,44.54368,-7.205424
Atlantic Ocean,Inner Seas off the West Coast of Scotland,56.984833,-6.517333
Pacific Ocean,,23.65,-149.74
Pacific Ocean,,40.58,-157.79
Pacific Ocean,,40.16,-157.42
Atlantic Ocean,,33.4238,-35.0883
Atlantic Ocean,Mediterranean Sea,39.286,19.847
Atlantic Ocean,Mediterranean Sea,41.5305,5.151183
Pacific Ocean,,43.3342,-124.3722
,,43.0517,-78.8968
Atlantic Ocean,,44.14,-59.85
Atlantic Ocean,,39.6528,-75.5824
Atlantic Ocean,,38.1414,-76.6133
Atlantic Ocean,,32.87,-79.9663
Atlantic Ocean,,32.8023,-79.9346
Atlantic Ocean,,32.7794,-79.9156
Atlantic Ocean,,37.45,-57.42
Atlantic Ocean,,28.98,-58.43
Atlantic Ocean,,21.68,-56.7
Atlantic Ocean,,20.98,-68.28
Atlantic Ocean,,27.54,-64.44
Atlantic Ocean,,31.23,-73.62
Pacific Ocean,,33.94,-142.0
Atlantic Ocean,,24.37,-82.24
Atlantic Ocean,,24.01,-82.07
Atlantic Ocean,,25.6,-77.58
Atlantic Ocean,,24.22,-74.4
Atlantic Ocean,,23.74,-74.7
Atlantic Ocean,Caribbean Sea,20.21,-79.82
Atlantic Ocean,Gulf of Mexico,27.3886,-97.3119
Atlantic Ocean,Gulf of Mexico,27.7547,-97.1147
Atlantic Ocean,Gulf of Mexico,27.7043,-97.1498
Atlantic Ocean,Gulf of Mexico,27.6317,-97.1938
Atlantic Ocean,Gulf of Mexico,26.8441,-97.3594
Atlantic Ocean,Gulf of Mexico,25.9916,-97.1502
Atlantic Ocean,Gulf of Mexico,29.2084,-94.9263
Atlantic Ocean,Gulf of Mexico,29.3176,-94.7483
Atlantic Ocean,Gulf of Mexico,28.0403,-96.8766
Atlantic Ocean,Gulf of Mexico,28.0284,-96.8894
Atlantic Ocean,Gulf of Mexico,27.783,-97.0925
Atlantic Ocean,Gulf of Mexico,27.7994,-97.0784
Atlantic Ocean,,29.6648,-81.2107
Atlantic Ocean,Gulf of Mexico,30.3059,-89.328
Atlantic Ocean,Gulf of Mexico,28.6109,-95.9414
Atlantic Ocean,Gulf of Mexico,29.6765,-94.9824
Atlantic Ocean,Gulf of Mexico,29.7613,-95.0797
Atlantic Ocean,Gulf of Mexico,29.3291,-94.7313
Atlantic Ocean,,26.25,-78.57
Atlantic Ocean,,26.03,-79.58
Atlantic Ocean,,25.93,-79.7
Atlantic Ocean,Gulf of Mexico,27.9528,-82.6416
Atlantic Ocean,Gulf of Mexico,27.5737,-82.6868
Atlantic Ocean,Gulf of Mexico,27.6081,-82.5712
Atlantic Ocean,,18.3043,-45.5097
Atlantic Ocean,,19.0,-43.95
Pacific Ocean,,25.35,-141.11
Pacific Ocean,,24.03,-138.44
Pacific Ocean,,23.15,-144.69
Pacific Ocean,,24.28,-143.99
Atlantic Ocean,,15.49,-58.88
Atlantic Ocean,,20.07,-57.93
Atlantic Ocean,,17.0717,-53.8258
Atlantic Ocean,Caribbean Sea,12.63,-61.63
Atlantic Ocean,Caribbean Sea,12.49,-61.68
Atlantic Ocean,Caribbean Sea,11.87,-61.33
Atlantic Ocean,Caribbean Sea,17.4983,-87.8358
Atlantic Ocean,Gulf of Mexico,19.1189,-96.1042
Atlantic Ocean,Caribbean Sea,12.13,-62.2
Atlantic Ocean,Caribbean Sea,12.65,-62.57
Atlantic Ocean,Caribbean Sea,14.17,-63.99
Atlantic Ocean,,20.13,-71.87
Atlantic Ocean,,-32.795,-32.393333
Atlantic Ocean,,-35.25027,13.067
Pacific Ocean,,5.28,-146.64
Pacific Ocean,,3.017,-117.033
Pacific Ocean,,19.24,-143.41
Pacific Ocean,,18.270009,-103.346377
Arctic Ocean,,88.04016,10.04138
Pacific Ocean,,7.43,-149.9
Pacific Ocean,,16.14,-157.92
Pacific Ocean,,20.61,-155.0
Pacific Ocean,,32.35,-155.1
Atlantic Ocean,Mediterranean Sea,31.7495,34.5525
Atlantic Ocean,,42.35,-69.43
Atlantic Ocean,,42.41,-70.6
Atlantic Ocean,,64.328167,-22.139667
Atlantic Ocean,,60.387167,-1.923
Atlantic Ocean,Inner Seas off the West Coast of Scotland,57.965833,-5.779833
Atlantic Ocean,,57.298,-10.39
Atlantic Ocean,Mediterranean Sea,33.919014,10.128889
Atlantic Ocean,Mediterranean Sea,37.061167,12.1335
Atlantic Ocean,Mediterranean Sea,41.0169,11.5414
Pacific Ocean,,43.0807,-124.4355
Pacific Ocean,,43.0906,-124.4345
Atlantic Ocean,,42.37,-69.4
Atlantic Ocean,,40.63,-71.0
Atlantic Ocean,,40.43,-70.05
Atlantic Ocean,,39.6,-70.47
Atlantic Ocean,,38.27,-64.85
Atlantic Ocean,,38.5197,-8.89348
Atlantic Ocean,Mediterranean Sea,40.038611,17.975556
Pacific Ocean,,32.4368,-133.8719
Pacific Ocean,,33.7619,-118.1817
,,41.384,-82.5149
Atlantic Ocean,,32.7554,-79.8452
Atlantic Ocean,,32.9,-64.68
Atlantic Ocean,,41.92,-70.45
Atlantic Ocean,,26.74,-58.88
Atlantic Ocean,,23.24,-57.67
Atlantic Ocean,,28.3556,-13.8777
Pacific Ocean,,33.08,-147.02
Pacific Ocean,,37.5533,-140.9014
Pacific Ocean,,33.7467,-131.7753
Atlantic Ocean,Gulf of Mexico,27.6078,-97.2065
Atlantic Ocean,Gulf of Mexico,26.4305,-97.2294
Atlantic Ocean,Caribbean Sea,21.08,-82.52
Atlantic Ocean,,25.31,-79.78
Atlantic Ocean,Caribbean Sea,20.18,-79.84
Atlantic Ocean,,30.97,-60.68
Atlantic Ocean,Gulf of Mexico,29.2924,-94.7841
Atlantic Ocean,Gulf of Mexico,29.2942,-94.7814
Atlantic Ocean,Gulf of Mexico,28.0684,-96.845
Atlantic Ocean,Gulf of Mexico,27.827,-97.0536
Atlantic Ocean,Gulf of Mexico,27.9123,-96.9995
Atlantic Ocean,Gulf of Mexico,27.8328,-97.4878
Atlantic Ocean,Gulf of Mexico,30.3059,-89.328
Atlantic Ocean,Gulf of Mexico,30.3056,-89.3282
Atlantic Ocean,Gulf of Mexico,29.779,-90.0248
Atlantic Ocean,Gulf of Mexico,29.6552,-95.0078
Atlantic Ocean,Gulf of Mexico,29.6555,-95.0078
Atlantic Ocean,Gulf of Mexico,29.3897,-94.8855
Pacific Ocean,Gulf of California,22.894645,-109.89479
Pacific Ocean,Gulf of California,24.3242,-110.3272
Atlantic Ocean,,26.0,-75.68
Atlantic Ocean,,26.22,-78.2
Atlantic Ocean,,25.8,-79.73
Atlantic Ocean,Gulf of Mexico,30.3822,-88.2588
Atlantic Ocean,Caribbean Sea,14.35,-62.47
Atlantic Ocean,Caribbean Sea,17.97,-64.61
Atlantic Ocean,,15.88,-53.5628
Atlantic Ocean,,14.5411,-51.9311
Pacific Ocean,,24.52,-148.47
Pacific Ocean,,26.21,-144.53
Atlantic Ocean,Caribbean Sea,17.73,-75.85
Atlantic Ocean,Caribbean Sea,16.8,-74.29
Atlantic Ocean,Caribbean Sea,17.35,-77.3
Atlantic Ocean,Caribbean Sea,17.1,-85.95
Atlantic Ocean,Gulf of Mexico,19.541887,-90.70652
Atlantic Ocean,Caribbean Sea,11.04,-63.41
Pacific Ocean,,-26.642333,-106.676667
Pacific Ocean,,-14.39,-146.61
Pacific Ocean,,3.78,-144.02
Pacific Ocean,,2.19,-135.73
Pacific Ocean,,0.183,-105.55
Pacific Ocean,,19.43,-145.47
Pacific Ocean,,40.58,-157.79
Atlantic Ocean,,-37.4152,-12.4744
Pacific Ocean,,-22.513,-151.3205
Pacific Ocean,,-15.91,-148.58
Pacific Ocean,,11.09,-156.77
Pacific Ocean,,16.28,-160.37
Pacific Ocean,,33.110395,-153.10956
Atlantic Ocean,North Sea,57.767333,-2.150667
Atlantic Ocean,,57.298,-10.39
Atlantic Ocean,,57.3045,-10.3825
Atlantic Ocean,,57.3045,-10.3825
Atlantic Ocean,Inner Seas off the West Coast of Scotland,56.166333,-6.064333
Atlantic Ocean,North Sea,56.068667,-2.299333
Atlantic Ocean,,42.33,-70.78
Atlantic Ocean,,42.1,-70.4
Atlantic Ocean,,35.05,-59.25
Atlantic Ocean,,40.514333,-8.858333
Atlantic Ocean,Mediterranean Sea,36.536667,-1.026667
Pacific Ocean,,45.3647,-123.9703
Atlantic Ocean,,32.641,-79.971
Atlantic Ocean,,32.7761,-79.9253
Atlantic Ocean,,32.7508,-79.9036
Atlantic Ocean,,32.43,-75.63
Atlantic Ocean,,32.67,-64.62
Atlantic Ocean,,41.7243,-72.6508
Atlantic Ocean,,26.3433,-20.9633
Atlantic Ocean,,27.3182,-16.0608
Pacific Ocean,,34.065,-141.8314
Pacific Ocean,,35.9848,-139.9853
Pacific Ocean,,37.2971,-140.7126
Atlantic Ocean,,32.9671,-79.937
Atlantic Ocean,,23.46,-58.83
Atlantic Ocean,,20.24,-71.71
Atlantic Ocean,,26.85,-68.22
Atlantic Ocean,,30.67,-69.27
Atlantic Ocean,,30.94,-69.19
Atlantic Ocean,,24.3061,-18.1438
Atlantic Ocean,Gulf of Mexico,27.5829,-97.2199
Atlantic Ocean,Gulf of Mexico,27.5526,-97.2354
Atlantic Ocean,Gulf of Mexico,27.6434,-97.187
Atlantic Ocean,Gulf of Mexico,26.0727,-97.1563
Atlantic Ocean,Gulf of Mexico,26.0983,-97.1621
Atlantic Ocean,Gulf of Mexico,24.42,-83.35
Atlantic Ocean,Gulf of Mexico,29.2287,-94.8927
Atlantic Ocean,Gulf of Mexico,29.2311,-94.8889
Atlantic Ocean,Gulf of Mexico,29.2324,-94.8867
Atlantic Ocean,Gulf of Mexico,27.8,-97.0781
Atlantic Ocean,Gulf of Mexico,27.963,-97.3687
Atlantic Ocean,Gulf of Mexico,27.1695,-97.3699
Pacific Ocean,,23.15,-144.69
Pacific Ocean,,25.68,-143.09
Atlantic Ocean,Gulf of Mexico,30.307,-89.3272
Atlantic Ocean,Gulf of Mexico,30.3063,-89.3277
Atlantic Ocean,Gulf of Mexico,29.7588,-95.3309
Atlantic Ocean,Gulf of Mexico,29.1824,-94.9703
Atlantic Ocean,Caribbean Sea,16.73,-63.68
Atlantic Ocean,Caribbean Sea,14.96,-62.06
Atlantic Ocean,,16.81,-60.17
Atlantic Ocean,Caribbean Sea,13.72,-60.68
Atlantic Ocean,,16.3997,-28.7435
Pacific Ocean,,24.03,-138.44
Atlantic Ocean,Gulf of Mexico,19.0943,-96.0979
Atlantic Ocean,Caribbean Sea,10.45,-64.35
Atlantic Ocean,Caribbean Sea,13.32,-69.8
Atlantic Ocean,Caribbean Sea,17.24,-74.22
Atlantic Ocean,,19.35,-68.92
Atlantic Ocean,Caribbean Sea,18.17,-64.72
Atlantic Ocean,Caribbean Sea,17.47,-79.6
Atlantic Ocean,Caribbean Sea,17.85,-77.68
Atlantic Ocean,Caribbean Sea,17.949806,-76.820278
Atlantic Ocean,Caribbean Sea,16.79,-76.84
Atlantic Ocean,Caribbean Sea,17.32,-78.5
Atlantic Ocean,Caribbean Sea,16.18,-85.55
Pacific Ocean,,3.2,-107.266
Pacific Ocean,,19.43,-145.47
Atlantic Ocean,Caribbean Sea,16.67,-79.33
Atlantic Ocean,Caribbean Sea,18.1,-83.08
Atlantic Ocean,Caribbean Sea,10.56,-64.31
Atlantic Ocean,Caribbean Sea,14.95,-60.43
Arctic Ocean,,74.84,-151.12
Arctic Ocean,,82.7728,18.8161
Arctic Ocean,,87.6096,6.37678
Pacific Ocean,,13.69,-156.87
Pacific Ocean,,12.52,-156.96
Pacific Ocean,,16.28,-160.37
Pacific Ocean,,16.88,-159.15
Atlantic Ocean,Mediterranean Sea,42.2428,8.5225
Pacific Ocean,,53.31,-135.67
,,43.2003,-79.0458
Pacific Ocean,Gulf of Alaska,60.1536,-147.3296
Atlantic Ocean,North Sea,57.743333,-2.615333
Atlantic Ocean,North Sea,57.261167,-1.984
Atlantic Ocean,,40.13,-69.95
Atlantic Ocean,,40.03,-71.06
Atlantic Ocean,,31.37,-59.93
Atlantic Ocean,Mediterranean Sea,37.729,12.335
Atlantic Ocean,Mediterranean Sea,38.87,4.353333
Atlantic Ocean,Mediterranean Sea,38.632,10.684
Atlantic Ocean,,40.2026,-74.0059
Atlantic Ocean,,40.2028,-74.0058
Atlantic Ocean,,40.74,-71.68
Atlantic Ocean,,41.5802,-71.3233
Atlantic Ocean,Stellwagen Bank National Marine Sanctuary,42.21,-70.19
Atlantic Ocean,,41.49,-69.35
Pacific Ocean,,31.998633,-135.1255
Pacific Ocean,,37.5453,-122.5152
Pacific Ocean,,37.758,-122.5109
Atlantic Ocean,,33.5232,-79.0384
Atlantic Ocean,,32.8021,-79.9059
Atlantic Ocean,,31.27,-72.76
Atlantic Ocean,,29.14,-71.19
Atlantic Ocean,,30.25,-73.59
Atlantic Ocean,,28.152519,-16.43179
Pacific Ocean,,33.489333,-143.100333
Pacific Ocean,,32.015833,-136.70005
Pacific Ocean,,37.47505,-131.48945
Atlantic Ocean,Gulf of Mexico,20.974583,-97.3069
Atlantic Ocean,Caribbean Sea,20.8722,-86.8656
Atlantic Ocean,,27.97,-58.6
Atlantic Ocean,,21.67,-60.02
Atlantic Ocean,,22.03,-60.0
Atlantic Ocean,,25.33,-59.96
Atlantic Ocean,Gulf of Mexico,29.2668,-94.8251
Atlantic Ocean,Gulf of Mexico,29.2204,-94.9063
Atlantic Ocean,Gulf of Mexico,29.3106,-94.759
Atlantic Ocean,Gulf of Mexico,27.4918,-97.2665
Atlantic Ocean,Gulf of Mexico,27.5459,-97.2389
Atlantic Ocean,Gulf of Mexico,27.5834,-97.2178
Atlantic Ocean,Gulf of Mexico,30.187,-85.7308
Atlantic Ocean,Gulf of Mexico,30.3063,-89.3276
Atlantic Ocean,Gulf of Mexico,30.4582,-91.1823
Atlantic Ocean,Gulf of Mexico,29.6528,-95.0091
Atlantic Ocean,Gulf of Mexico,29.6556,-95.0077
Atlantic Ocean,Gulf of Mexico,29.6556,-95.0078
Pacific Ocean,,28.54,-140.09
Atlantic Ocean,,29.15,-79.77
Atlantic Ocean,,26.95,-79.25
Atlantic Ocean,,26.8874,-80.0551
Atlantic Ocean,,27.09,-79.73
Atlantic Ocean,Gulf of Mexico,29.1369,-83.0296
Atlantic Ocean,,19.29,-59.61
Atlantic Ocean,Caribbean Sea,12.7,-60.79
Atlantic Ocean,,11.38,-59.92
Pacific Ocean,,24.28,-143.99
Pacific Ocean,,25.68,-143.09
Pacific Ocean,,27.488783,-144.98985
Atlantic Ocean,,-14.28853,-0.90514
Pacific Ocean,,-3.99,-142.07
Pacific Ocean,,-6.08,-147.02
Pacific Ocean,,-10.8,-139.91
Atlantic Ocean,,-3.85484,-9.30984
Pacific Ocean,,8.19,-145.47
Pacific Ocean,,16.88,-159.15
Pacific Ocean,,14.62,-152.27
Atlantic Ocean,Inner Seas off the West Coast of Scotland,56.01535,-4.871667
Atlantic Ocean,North Sea,56.023167,-3.5375
Pacific Ocean,,7.43,-149.9
Pacific Ocean,,13.69,-156.87
Pacific Ocean,,12.52,-156.96
Pacific Ocean,,16.28,-160.37
Pacific Ocean,,49.773333,-144.5225
Atlantic Ocean,,44.08,-61.99
Atlantic Ocean,,47.89658,-9.026751
Atlantic Ocean,,44.364776,-21.876063
Atlantic Ocean,Mediterranean Sea,42.377821,3.158952
Pacific Ocean,,54.556083,-143.001917
Atlantic Ocean,,39.65,-69.13
Atlantic Ocean,,42.08,-63.42
Atlantic Ocean,,38.43987,-9.09325
Atlantic Ocean,Mediterranean Sea,33.770319,10.253245
Atlantic Ocean,Mediterranean Sea,41.465446,2.282388
Atlantic Ocean,Mediterranean Sea,41.389383,2.203525
Atlantic Ocean,,33.0,-62.5
Atlantic Ocean,,35.63,-62.01
Atlantic Ocean,,41.6659,-71.3472
Atlantic Ocean,,41.6244,-71.3257
Atlantic Ocean,,40.73,-69.88
Atlantic Ocean,,40.3,-69.77
Atlantic Ocean,,31.14,-66.25
Atlantic Ocean,,20.3775,-40.3907
Pacific Ocean,,33.7109,-118.0648
Pacific Ocean,,33.7109,-118.0648
Atlantic Ocean,,39.3495,-74.4479
Atlantic Ocean,,39.0008,-75.3279
Atlantic Ocean,,22.07,-59.27
Atlantic Ocean,,22.57,-64.8
Atlantic Ocean,,20.8,-68.79
Atlantic Ocean,,23.24,-73.25
Atlantic Ocean,,23.22,-71.22
Atlantic Ocean,,28.17,-70.99
Atlantic Ocean,Gulf of Mexico,27.1797,-97.3683
Atlantic Ocean,Gulf of Mexico,27.1698,-97.3698
Atlantic Ocean,Gulf of Mexico,27.7036,-97.1499
Atlantic Ocean,Gulf of Mexico,27.7031,-97.1505
Atlantic Ocean,,24.02,-80.88
Atlantic Ocean,,29.4,-59.07
Atlantic Ocean,Gulf of Mexico,29.2762,-94.8086
Atlantic Ocean,Gulf of Mexico,29.2561,-94.8446
Atlantic Ocean,Gulf of Mexico,29.2665,-94.8253
Atlantic Ocean,Gulf of Mexico,29.2216,-94.905
Atlantic Ocean,Gulf of Mexico,29.3075,-94.7639
Atlantic Ocean,Gulf of Mexico,29.3112,-94.7578
Atlantic Ocean,Gulf of Mexico,26.4807,-82.1815
Atlantic Ocean,Gulf of Mexico,29.5876,-85.0445
Atlantic Ocean,Gulf of Mexico,30.308,-89.3264
Atlantic Ocean,Gulf of Mexico,30.3073,-89.3269
Atlantic Ocean,Gulf of Mexico,30.306,-89.328
Atlantic Ocean,Gulf of Mexico,29.1447,-95.0325
Pacific Ocean,,22.76,-141.69
Pacific Ocean,,25.68,-143.09
Pacific Ocean,,29.000848,-141.6045
Pacific Ocean,,28.54,-140.09
Pacific Ocean,,28.990018,-143.5385
Atlantic Ocean,Gulf of Mexico,27.12,-83.27
Atlantic Ocean,Gulf of Mexico,19.1045,-96.0984
Atlantic Ocean,Gulf of Mexico,19.1053,-96.099
Atlantic Ocean,Caribbean Sea,15.89,-69.58
Atlantic Ocean,,19.97,-69.03
Atlantic Ocean,,19.32,-65.08
Pacific Ocean,,27.3857,-130.72035
Atlantic Ocean,,0.956002,-15.556694
Atlantic Ocean,,7.183664,-19.193286
Atlantic Ocean,Caribbean Sea,20.02,-80.17
Atlantic Ocean,Caribbean Sea,17.06,-76.08
Atlantic Ocean,Caribbean Sea,18.6927,-87.7162
Atlantic Ocean,Gulf of Mexico,19.4887,-96.3228
Atlantic Ocean,,-32.4768,-29.7142
Pacific Ocean,,5.355,-130.105
Pacific Ocean,,10.2884,-109.2038
Atlantic Ocean,Caribbean Sea,19.1,-74.37
Atlantic Ocean,Caribbean Sea,17.67,-80.58
Atlantic Ocean,Gulf of Mexico,18.437298,-93.221816
Pacific Ocean,,12.52,-156.96
Pacific Ocean,,16.88,-159.15
Pacific Ocean,,36.4245,-148.8456
Pacific Ocean,,40.16,-157.42
Atlantic Ocean,Inner Seas off the West Coast of Scotland,57.7,-5.844667
Atlantic Ocean,Inner Seas off the West Coast of Scotland,56.198333,-4.753333
Atlantic Ocean,Kattegat,57.3629,11.0655
Arctic Ocean,Norwegian Sea,64.0445,9.583167
Arctic Ocean,,80.9713,8.02501
Pacific Ocean,,6.42,-148.97
Atlantic Ocean,Mediterranean Sea,42.2383,8.3221
Atlantic Ocean,Mediterranean Sea,40.910469,0.833376
Atlantic Ocean,,43.96,-64.33
Atlantic Ocean,,42.82,-65.4
Atlantic Ocean,,42.88,-70.38
Atlantic Ocean,,51.543135,-10.671347
Atlantic Ocean,,39.1,-69.52
Atlantic Ocean,,40.657,-73.4725
Atlantic Ocean,,41.80855,-71.389458
Atlantic Ocean,,42.07,-70.52
Atlantic Ocean,,39.7,-69.75
Atlantic Ocean,Mediterranean Sea,36.99625,-0.63875
Pacific Ocean,,32.4016,-119.9682
,,41.4254,-82.3654
Atlantic Ocean,Gulf of Mexico,31.2568,-87.9884
Atlantic Ocean,,31.57,-67.18
Atlantic Ocean,,32.2489,-64.8333
Atlantic Ocean,,38.2,-68.85
Atlantic Ocean,,24.27,-72.9
Atlantic Ocean,,27.51,-69.33
Atlantic Ocean,,29.83,-70.88
Atlantic Ocean,,20.7311,-23.6322
Pacific Ocean,,38.5759,-134.14955
Pacific Ocean,,31.61485,-134.05885
Atlantic Ocean,Gulf of Mexico,27.6014,-97.2097
Atlantic Ocean,Gulf of Mexico,26.9359,-97.3739
Atlantic Ocean,,24.79,-79.72
Atlantic Ocean,,25.27,-65.59
Atlantic Ocean,,21.53,-65.82
Atlantic Ocean,,20.93,-73.74
Atlantic Ocean,Gulf of Mexico,27.3492,-97.3261
Atlantic Ocean,Gulf of Mexico,27.423,-97.2976
Atlantic Ocean,Gulf of Mexico,27.5874,-97.2171
Atlantic Ocean,Gulf of Mexico,27.6264,-97.2907
Atlantic Ocean,Gulf of Mexico,27.6722,-97.1697
Atlantic Ocean,Gulf of Mexico,27.6125,-97.2029
Atlantic Ocean,Gulf of Mexico,29.9559,-90.0469
Atlantic Ocean,Gulf of Mexico,29.3737,-94.8348
Atlantic Ocean,Gulf of Mexico,29.2849,-94.7935
Atlantic Ocean,Gulf of Mexico,29.2758,-94.8092
Atlantic Ocean,Gulf of Mexico,29.2613,-94.8351
Atlantic Ocean,Gulf of Mexico,29.2646,-94.8283
Atlantic Ocean,,27.53,-76.0
Atlantic Ocean,Gulf of Mexico,26.4443,-82.0791
Atlantic Ocean,Gulf of Mexico,30.319,-89.3221
Atlantic Ocean,Gulf of Mexico,30.3063,-89.3277
Atlantic Ocean,Gulf of Mexico,30.3311,-87.1392
Atlantic Ocean,Gulf of Mexico,29.2591,-89.95
Pacific Ocean,,25.28,-147.0
Pacific Ocean,,29.37,-139.91
Pacific Ocean,,24.301,-111.7071
Pacific Ocean,,23.05,-108.68
Pacific Ocean,,23.327094,-110.174193
Pacific Ocean,,22.97,-110.49
Atlantic Ocean,Caribbean Sea,11.86,-67.63
Atlantic Ocean,Caribbean Sea,11.98,-64.02
Atlantic Ocean,,14.98,-58.29
Atlantic Ocean,Caribbean Sea,13.15,-61.28
Pacific Ocean,,22.76,-141.69
Pacific Ocean,,24.28,-143.99
Pacific Ocean,,-26.5353,-114.8312
Pacific Ocean,,-14.55,-147.82
Pacific Ocean,,-23.862833,-122.293167
Pacific Ocean,,-0.98,-93.76
Pacific Ocean,,1.5,-90.5
Pacific Ocean,,7.4795,-82.2342
Pacific Ocean,,16.88,-159.15
Pacific Ocean,,27.20655,-152.87545
Pacific Ocean,,40.16,-157.42
Atlantic Ocean,Mediterranean Sea,31.8705,34.6625
Pacific Ocean,,32.0113,-165.4
Atlantic Ocean,,57.298,-10.39
